Title,Content
Disentangling Biomolecular Corona Interactions With Cell Receptors and Implications for Targeting of Nanomedicines,"Nanoparticles are promising tools for nanomedicine in a wide array of therapeutic and diagnostic applications. Yet, despite the advances in the biomedical applications of nanomaterials, relatively few nanomedicines made it to the clinics. The formation of the biomolecular corona on the surface of nanoparticles has been known as one of the challenges toward successful targeting of nanomedicines. This adsorbed protein layer can mask targeting moieties and creates a new biological identity that critically affects the subsequent biological interactions of nanomedicines with cells. Extensive studies have been directed toward understanding the characteristics of this layer of biomolecules and its implications for nanomedicine outcomes at cell and organism levels, yet several aspects are still poorly understood. One aspect that still requires further insights is how the biomolecular corona interacts with and is “read” by the cellular machinery. Within this context, this review is focused on the current understanding of the interactions of the biomolecular corona with cell receptors. First, we address the importance and the role of receptors in the uptake of nanoparticles. Second, we discuss the recent advances and techniques in characterizing and identifying biomolecular corona-receptor interactions. Additionally, we present how we can exploit the knowledge of corona-cell receptor interactions to discover novel receptors for targeting of nanocarriers. Finally, we conclude this review with an outlook on possible future perspectives in the field. A better understanding of the first interactions of nanomaterials with cells, and -in particular -the receptors interacting with the biomolecular corona and involved in nanoparticle uptake, will help for the successful design of nanomedicines for targeted delivery."
Polysaccharide-Based Nanomaterials for Ocular Drug Delivery: A Perspective,"Ocular drug delivery is one of the most challenging issues in ophthalmology because of the complex physiological structure of the eye. Polysaccharide-based nanomaterials have been extensively investigated in recent years as ideal carriers for enhancing the bioavailability of drugs in the ocular system because of their biocompatibility and drug solubilization. From this perspective, we discuss the structural instability of polysaccharides and its impact on the synthesis process; examine the potential for developing bioactive polysaccharide-based ocular drug nanocarriers; propose four strategies for designing novel drug delivery nanomaterials; and suggest reviewing the behavior of nanomaterials in ocular tissues."
"Elucidating the origin of the surface functionalization - dependent bacterial toxicity of graphene nanomaterials: Oxidative damage, physical disruption, and cell autolysis","Previous studies have shown that the toxicity of graphene nanomaterials (GNMs) to bacteria are related to the surface functionalization, however, the involved mechanisms are not fully understood. The present study aims to explore the toxic mechanisms of differentially functionalized GNMs to bacteria from the aspects of physical interaction, oxidative damage and cell autolysis. Three basic functionalization of GNMs including carboxylation (G-COOH), hydroxylation (G-OH) and amination (G-NH2) were studied. G-COOH (66% viability vs CT group) and G-OH (54%) graphene showed higher toxicity to E. coli than G-NH2 (96%) within 3 h at a concentration of 50 mg/L. The three materials showed distinct physical interaction modes with bacterial cells. G-COOH and G-OH contact with cell membrane via their sharp edges thus causing more damage than G-NH2 which covered the bacteria attaching along the basal plane. The three GNMs showed similar radical generation capacities, thus the direct generation of radicals is not the mechanism causing the toxicity. Instead, the GNMs can oxidize the cellular antioxidant glutathione (GSH) thereby causing oxidative damage. The oxidative capacity follows the order: G-COOH > G-OH > G-NH2, which correlated with the antibacterial activity. Cell autolysis, the degradation of cell wall component peptidoglycan, was found to be a new mechanism inducing the death of bacteria. G-COOH and G-OH caused more cell autolysis than G-NH2, which accounts partially for the different toxicity of the three GNMs. The findings provide significant insights into the mechanism of GNMs toxicity to bacteria for not only the risk assessment of GNMs but also the design of graphene based antibacterial materials."
Engineering the Protein Corona Structure on Gold Nanoclusters Enables Red-Shifted Emissions in the Second Near-infrared Window for Gastrointestinal Imaging,"The application of NIR-II emitters for gastrointestinal (GI) tract imaging remains challenging due to fluorescence quenching in the digestive microenvironment. Herein, we report that red-shifting of the fluorescence emission of Au nanoclusters (AuNCs) into NIR-II region with improved quantum yields (QY) could be achieved by engineering a protein corona structure consisting of a ribonuclease-A (RNase-A) on the particle surfaces. RNase-A-encapsulated AuNCs (RNase-A@AuNCs) displayed emissions at 1050 nm with a 1.9 % QY. Compared to rare earth and silver-based NIR-II emitters, RNase-A@AuNCs had excellent biocompatibility, showing >50-fold higher sensitivity in GI tract, and migrated homogenously during gastrointestinal peristalsis to allow visualization of the detailed structures of the GI tract. RNase-A@AuNCs could successfully examine intestinal tumor mice from healthy mice, indicating a potential utility for early diagnosis of intestinal tumors."
The impact of nanoparticles on innate immune activation by live bacteria,"The innate immune system evolved to detect and react against potential dangers such as bacteria, viruses, and environmental particles. The advent of modern technology has exposed innate immune cells, such as monocytes, macrophages, and dendritic cells, to a relatively novel type of particulate matter, i.e., engineered nanoparticles. Nanoparticles are not inherently pathogenic, and yet cases have been described in which specific nanoparticle types can either induce innate/inflammatory responses or modulate the activity of activated innate cells. Many of these studies rely upon activation by agonists of toll-like receptors, such as lipopolysaccharide or peptidoglycan, instead of the more realistic stimulation by whole live organisms. In this review we examine and discuss the effects of nanoparticles on innate immune cells activated by live bacteria. We focus in particular on how nanoparticles may interfere with bacterial processes in the context of innate activation, and confine our scope to the effects due to particles themselves, rather than to molecules adsorbed on the particle surface. Finally, we examine the long-lasting consequences of coexposure to nanoparticles and bacteria, in terms of potential microbiome alterations and innate immune memory, and address nanoparticle-based vaccine strategies against bacterial infection."
Management of occupational risk prevention of nanomaterials manufactured in construction sites in the eu,"Currently, nanotechnology plays a key role for technological innovation, including the construction sector. An exponential increase is expected in its application, although this has been hampered by the current degree of uncertainty regarding the potential effects of nanomaterials on both human health and the environment. The accidents, illnesses, and disease related to the use of nanoproducts in the construction sector are difficult to identify. For this purpose, this work analyzes in depth the products included in recognized inventories and the safety data sheets of these construction products. Based on this analysis, a review of the recommendations on the use of manufactured nanomaterials at construction sites is performed. Finally, a protocol is proposed with the aim of it serving as a tool for technicians in decision-making management at construction sites related to the use of manufactured nanomaterials. This proposed protocol should be an adaptive and flexible tool while the manufactured nanomaterials-based work continues to be considered as an “emerging risk,” despite the expectation that the protocol will be useful for the development of new laws and recommendations for occupational risk prevention management."
Nanomaterials for Therapeutic RNA Delivery,"Recent years have witnessed tremendous developments and breakthroughs in the field of RNA-based therapeutics. The distinct mechanisms of exogenous RNAs and analogs, including messenger RNAs, small interfering RNAs, microRNAs, and antisense oligonucleotides, have brought them unprecedented potential to treat a variety of pathological conditions. However, the widespread application of RNA therapeutics is hampered by their intrinsic features (e.g., instability, large size, and dense negative charge) and formidable host barriers. Development of safe and efficient vectors is key for successful delivery and translation of RNA therapeutics. In this review, we first present an overview of RNA therapeutics and their clinical translation. We then discuss their delivery challenges and highlight recent advances in nanomaterial-based RNA-delivery platforms. Finally, the potential concerns and future developments of RNA delivery systems are discussed."
"Assessing the nanotechnology on the grounds of costs, benefits, and risks","Background: The technical innovations are based on the principles of science with the assurance of outweighing their cost and risk factors with the benefits to society. But sometimes, the innovation either itself becomes a risk or brings in some risk factors along with it. For most of the alleyway of an innovation from its emergence to its road to societal acceptance and adoption, the focus remains on the benefits majorly. Only when we are at the neck of the hour we think about some of the apparent cost and risk issues. The understanding, proper communication, and address of the basics of risk factors are necessarily required much in advance to deal with this issue. Main body: Nanoparticles with very small size and huge surface area are being derived from various plants, microbes, chemical compounds, metals, and metal alloys. Without our realizations, nanotechnology has become a vital part of our day-to-day life, and nanoparticles are proving their worth in almost every field ranging from food, water, medicine, agriculture, construction, fashion, electronics, and computers to eco-remediation, but what about the costs involved and the risks associated? We strongly need to recognize these concerns and challenges, and it requires collaborative efforts from academicians, researchers, industries, government, and non-government organizations to involve people in dialogs to deal with them. Conclusion: Through reviewing various studies and articles on nanotechnology, this review has shown that nanotechnology can productively be used to produce consumer goods for pharma, electronics, food, agriculture, aviation, construction, security, and remediation sectors which are advantages in their characteristics. Regarding the future of nanotechnology, we need to focus on assessment and management of risks associated for its promising market growth. Graphical abstract: [Figure not available: see fulltext.]"
SERS-active MIL-100(Fe) sensor for sensitive detection of organic dyes and its enhancement mechanism study,"Metal organic frameworks (MOFs) has been considered as an ideal molecular capture material and has been widely used in many fields, including storage, catalytic, drug delivery and molecular separation due to its unique porous structure. MOFs contain organic linkers and metallic nodes, in which the aromatic ligands of MOFs have a strong π-π interaction with the aromatic structure of many organics, and the metal nodes are conducive to the coordination adsorption of the polarized parts of the molecule. Therefore, MOFs has a broad application prospect in the molecular detection field. Especially in recent years, researchers have continuously reported a series of SERS-active MOFs, which enriches the scope of metal-free semiconductor SERS platforms. In this study, MIL-100(Fe) was synthesized via hydrothermal method following the reported procedure with slight modifications, and then was characterized by scanning electron microscope (SEM), powder X-ray diffraction (PXRD) and porosity analyzer. Upon the adsorption of methyl blue (MB) and methylene orange (MO) onto MIL-100(Fe), different adsorption capability of MIL-100(Fe) to dyes were observed from their adsorption behavior curves. We found for the first time that MIL-100(Fe) can serve as an ideal SERS-active substrate for the capture and recognition of MB and MO but with different detection limits, 10-7 mol/L for MB and 10-5 mol/L for MO, respectively, indicating MIL-100(Fe) presents selective enhancement properties for these two organic dye molecules. In order to further increase the sensitivity of MIL-100(Fe) substrate for MO detection, the detection has been accomplished by depositing concentrated gold nanoparticle colloid onto the MIL-100(Fe) substrate, thus forming SERS ""hot spots"" which enable amplify the Raman signal of MO due to the electromagnetic enhancement (EM) effect. Density functional theory (DFT) was carried out to evaluate the binding position, molecular distance, binding energy and energy gap between dyes molecules and MIL-100(Fe). The energy gap between the MB and MIL-100(Fe) levels is 1.59 eV, close to the laser excitation energy (EL=1.58 eV). This resonance suggests that the chemical enhancement (CE) mechanism may be operating, accounting for the high SERS activity of MIL-100(Fe) in MB detection. In addition, the adsorption energy between MB and MIL-100(Fe) is stronger than that of MO, this together with the CE accounts for the selective enhancing effect of MIL-100(Fe) on the two dye molecules."
Can an inchi for nano address the need for a simplified representation of complex nanomaterials across experimental and nanoinformatics studies?,"Chemoinformatics has developed efficient ways of representing chemical structures for small molecules as simple text strings, simplified molecular‐input line‐entry system (SMILES) and the IUPAC International Chemical Identifier (InChI), which are machine‐readable. In particular, InChIs have been extended to encode formalized representations of mixtures and reactions, and work is ongoing to represent polymers and other macromolecules in this way. The next frontier is encoding the multi‐component structures of nanomaterials (NMs) in a machine‐readable format to enable linking of datasets for nanoinformatics and regulatory applications. A workshop organized by the H2020 research infrastructure NanoCommons and the nanoinformatics project NanoSolveIT analyzed issues involved in developing an InChI for NMs (NInChI). The layers needed to capture NM structures include but are not limited to: core composition (possibly multi‐layered); surface topography; surface coatings or functionalization; doping with other chemicals; and representation of impurities. NM distributions (size, shape, composition, surface properties, etc.), types of chemical linkages connecting surface functionalization and coating molecules to the core, and various crystallographic forms exhibited by NMs also need to be considered. Six case studies were conducted to elucidate requirements for unambiguous description of NMs. The suggested NInChI layers are intended to stimulate further analysis that will lead to the first version of a “nano” extension to the InChI standard."
Subtoxic cell responses to silica particles with different size and shape,"Health risks from particles are a priority challenge to health protection at work. Despite the ubiquitous exposure to a wide range of particles and the many years of research in this field, there are fundamental unresolved questions regarding the prevention of particle-related respiratory diseases. Here, the highly relevant particulate material silicon dioxide was analyzed with emphasis on defined size and shape. Silica particles were prepared with different size and shape: Spheres (NS nanospheres 60 nm; SMS submicrospheres 230 nm; MS microspheres 430 nm) and rods (SMR submicrorods with d = 125 nm, L = 230 nm; aspect ratio 1:1.8; MR microrods with d = 100 nm, L = 600 nm; aspect ratio 1:6). After an in-depth physicochemical characterization, their effects on NR8383 alveolar macrophages were investigated. The particles were X-ray amorphous, well dispersed, and not agglomerated. Toxic effects were only observed at high concentrations, i.e. ≥ 200 µg mL−1, with the microparticles showing a stronger significant effect on toxicity (MS≈MR > SMR≈SMS≈NS) than the nanoparticles. Special attention was directed to effects in the subtoxic range (less than 50% cell death compared to untreated cells), i.e. below 100 µg mL−1 where chronic health effects may be expected. All particles were readily taken up by NR8383 cells within a few hours and mainly found associated with endolysosomes. At subtoxic levels, neither particle type induced strongly adverse effects, as probed by viability tests, detection of reactive oxygen species (ROS), protein microarrays, and cytokine release (IL-1β, GDF-15, TNF-α, CXCL1). In the particle-induced cell migration assay (PICMA) with leukocytes (dHL-60 cells) and in cytokine release assays, only small effects were seen. In conclusion, at subtoxic concentrations, where chronic health effects may be expected, neither size and nor shape of the synthesized chemically identical silica particles showed harmful cell-biological effects."
Epigenetics in breast cancer therapy—New strategies and future nanomedicine perspectives,"Epigenetic dysregulation has been recognized as a critical factor contributing to the development of resistance against standard chemotherapy and to breast cancer progression via epithelial-to-mesenchymal transition. Although the efficacy of the first-generation epigenetic drugs (epi-drugs) in solid tumor management has been disappointing, there is an increasing body of evidence showing that epigenome modulation, in synergy with other therapeutic approaches, could play an important role in cancer treatment, reversing acquired therapy resistance. However, the epigenetic therapy of solid malignancies is not straightforward. The emergence of nanotechnologies applied to medicine has brought new opportunities to advance the targeted delivery of epi-drugs while improving their stability and solubility, and minimizing off-target effects. Furthermore, the omics technologies, as powerful molecular epidemiology screening tools, enable new diagnostic and prognostic epigenetic biomarker identification, allowing for patient stratification and tailored management. In combination with new-generation epi-drugs, nanomedicine can help to overcome low therapeutic efficacy in treatment-resistant tumors. This review provides an overview of ongoing clinical trials focusing on combination therapies employing epi-drugs for breast cancer treatment and summarizes the latest nano-based targeted delivery approaches for epi-drugs. Moreover, it highlights the current limitations and obstacles associated with applying these experimental strategies in the clinics."
