Date,Title,Content
2007-01-30,Acute toxicity and biodistribution of different sized titanium dioxide particles in mice after oral administration,"In order to evaluate the toxicity of TiO2 particles, the acute toxicity of nano-sized TiO2 particles (25 and 80 nm) on adult mice was investigated compared with fine TiO2 particles (155 nm). Due to the low toxicity, a fixed large dose of 5 g/kg body weight of TiO2 suspensions was administrated by a single oral gavage according to the OECD procedure. In 2 weeks, TiO2 particles showed no obvious acute toxicity. However, the female mice showed high coefficients of liver in the nano-sized (25 and 80 nm) groups. The changes of serum biochemical parameters (ALT/AST, LDH) and pathology (hydropic degeneration around the central vein and the spotty necrosis of hepatocytes) of liver indicated that the hepatic injury was induced after exposure to mass different-sized TiO2 particles. In addition, the nephrotoxicity like increased BUN level and pathology change of kidneys was also observed in the experimental groups. The significant change of serum LDH and alpha-HBDH in 25 and 80 nm groups showed the myocardial damage compared with the control group. However, there are no abnormal pathology changes in the heart, lung, testicle (ovary), and spleen tissues. Biodistribution experiment showed that TiO2 mainly retained in the liver, spleen, kidneys, and lung tissues, which indicated that TiO2 particles could be transported to other tissues and organs after uptake by gastrointestinal tract. © 2006 Elsevier Ireland Ltd. All rights reserved."
2007-01-30,Investigation of mercury-containing proteins by enriched stable isotopic tracer and size-exclusion chromatography hyphenated to inductively coupled plasma-isotope dilution mass spectrometry,"In order to investigate trace mercury-containing proteins in maternal rat and their offspring, a method of enriched stable isotopic tracer (196Hg and 198Hg) combined with size-exclusion chromatography (SEC) coupled to inductively coupled plasma-isotope dilution mass spectrometry (ICP-IDMS) was developed. Prior to the analysis, 196Hg- and 198Hg-enriched methylmercury was administrated to the pregnant rats. Then the mercury-containing proteins in serum and brain cytosol of the dam and pup rats were separated by size-exclusion columns and the mercury was detected by ICP-MS. The ICP-MS spectrogram of the tracing samples showed significantly elevated 196Hg and 198Hg isotopic signals compared with the natural ones, indicating that the detection sensitivity could be increased by the tracer method. The contents of mercury in chromatographic fractions of the dam and pup rat brain cytosol were quantitatively estimated by post-column reverse ID-ICP-MS. The quantitative speciation differences of mercury in brain cytosol between the dam and pup rats were observed, indicating that such studies could be useful for toxicological estimation. Additionally, the isotopic ratio measurement of 198Hg/202Hg in the tracing samples could be used to identify the artifact mercury species caused in the analytical procedure. The study demonstrates that the tracer method combined with high-performance liquid chromatography (HPLC)-ICP-IDMS could provide reliably qualitative and quantitative information on mercury-containing proteins in organisms. © 2006 Elsevier B.V. All rights reserved."
2007-01-01,Influence of intranasal instilled titanium dioxide nanoparticles on monoaminergic neurotransmitters of female mice at different exposure time,"OBJECTIVE: To investigate the influence of intranasal instilling titanium dioxide (TiO2) nanoparticles on monoaminergic neurotransmitters at different-time exposure. METHODS: CD female mice were intranasally instilled three different-sized (25 nm, 80 nm and 155 nm) TiO, suspension every other day in a dose of 50 mg/kg body weight. The control group was instilled the same volume of Milli-Q water. Inductively coupled plasma-mass spectrometry (ICP-MS) was used to analyze the titanium contents in murine brain after exposure to TiO2 particles 2 days, 10 days, 20 days and 30 days. The monoaminergic neurotransmitters such as norepinephrine (NE), dopamine (DA), 5-hydroxytryptamine (5-HT), 5-hydroxyindole acetic acid (5-HIAA), 3, 4-dihydroxyphenylacetic acid (DOPAC), and homovanillic (HVA), were determined by reversed-phase high performance liquid chromatography (RP-HPLC) with electrochemical detector. RESULTS: After exposure to TiO, nanoparticles 10 days, the titanium contents in murine brain were increased, the titanium content in the 25 nm group was up to (1059.3 +/- 293.5) ng/g. In 20 days, the titanium content decreased slowly with the metabolism of titanium in vivo, but it kept at a high level, the content decreased to (654.7 +/- 269.2) ng/g in the 25 nm group. After exposure to TiO2 nanoparticles 30 days, the titanium contents had no obviously change. Because of the accumulation of TiO, in the brain, the contents of NE and 5-HT increased significantly after exposure to 80 nm and 155 nm TiO, nanoparticles 20 days, while the decreased contents of DA, DOPAC, HVA and 5-HIAA were observed. CONCLUSION: The inhaled TiO2 nanoparticles could be translocated to and deposited in murine brain after absorbing by nasal mucosa, and further influence the releases and metabolisms of monoaminergic neurotransmitters in brain."
2007-01-01,Determination of Mercury in Fish by Isotope Dilution Inductively Coupled Plasma-Mass Spectrometry,"A method for mild extraction and subsequent determination of total mercury content in fish by isotope dilution inductively coupled plasma-mass spectrometry (ID-ICP-MS) has been developed. The errors in the measurement of mercury isotope ratio were discussed. The dead time and mass bias induced by the system of ICP-MS were corrected by the use of lead isotopic certified reference material NIST SRM 981. The established method was validated by determining total mercury content in two certified reference materials, IAEA 436 (Tuna) and NRCC DOLT-3 (Dogfish Liver). The results of total mercury presented in IAEA 436 and DOLT-3 were 4.23 ± 0.06 and 3.33 ± 0.05 mg kg-1, respectively, which were in agreement with the certified values. The extraction method was suitable for the determination of mercury by ID-ICP-MS because the memory effect of mercury in the system could be efficiently eliminated. © 2007 Changchun Institute of Applied Chemistry, Chinese Academy of Sciences."
2007-01-01,Toxicological and biological effects of nanomaterials,"In this paper, we summarise the most recent findings on the toxicological and biological (including both favourable and adverse) effects of some studied nanomaterials (nanotubes, fullerene, metallofullerenes, their derivatives, and metallic nanoparticles). The dose-dependent, nanosize dependent, nano-structure dependent biological activity in particular nanotoxicity are discussed. Results show that some conventional methodology for assessing the biological activities of bulk materials may not be valid for nanomaterials even though they have the same chemical composition and are in mass basis. Nevertheless, this kind of research is still in its infancy, and many knowledge gaps exist that need to be filled by further studies. On the other hand, we show some intriguing examples that the adverse biological effects of nanomaterials can be reverse-utilised in biomedical fields. For instance, it was found that the 22 nm [Gd@C 82(OH)22]n particles at a very low dose exhibit an anticancer rate of as high as ∼60% in mice. Dose increase of 1 × 10-7 mol/kg results in a 26% increment of anticancer efficiency. These nanoparticles have strong capacity to improve immunity and obstruct tumour invasion towards normal muscle cells but nearly without toxicity in vivo and in vitro. The fullerene derivatives with proper chemical modifications may help realise the dream of tumour chemotherapeutics of high-efficacy and low-toxicity. Copyright © 2007 Inderscience Enterprises Ltd."
2007-01-01,What do we know about innovation in nanotechnology? Some propositions about an emerging field between hype and path-dependency,"This contribution formulates a number of propositions about the emergence of novel nanoscience and nanotechnology (N&N). Seeking to complement recent work that aims to define a research agenda and draws on general insights from the innovation literature, this paper aims to synthesize knowledge from innovation-related studies of the N&N field. More specifically, it is suggested that N&N is often misconstrued as either a field of technology or an area of (broadly) converging technologies while evidence to date suggests rather that N&N be considered a set of inter-related and overlapping about not necessarily merging technologies. The role of instrumentation in connecting the various N&N fields is underlined. Finally, the question is raised whether change in N&N tends to be incremental rather than discontinuous, being the result of technological path-dependencies and lock-ins in industry-typical search regimes that are only slowly giving way to more boundary-crossing activities. © 2007 Akadémiai Kiadó."
2006-12-01,The tension between fiction and precaution in nanotechnology,
2006-09-01,"The nano enterprise: A survey of health and safety concerns, considerations, and proposed improvement strategies to reduce potential adverse effects","Nanotechnology is evolving to become a leading industry. However, there is a great deal of uncertainty surrounding the potential health effects of nanomaterials and its components. This study focuses on the hazards and risks that nanomaterials pose to physical and environmental health together with the risks posed during their manufacture and research. In particular, the authors seek to promote awareness and the need for the adoption of various strategies to minimize the risk of human exposure to nanotechnologies both within and outside the manufacturing enterprise. Information from scientific journals, project studies, environmental and worker-protection agency reports are used as the main source for this study. The six sigma's DMAIC framework, viz. ""define, measure, analyze, improve, and control,"" is used as a guideline for synthesizing information from published literature. Preliminary evidence from experimental research studies indicate the ability of nanomaterials to penetrate and cause damage to human tissues and cells. The susceptibility of the personnel associated during production (those who are more likely to be at risk) has been analyzed to examine considerations and targets, as well as for developing strategies for a continued research framework. Nanotechnology may pose health and environmental hazards unless adequate preventive measures are developed and implemented. Because of the likely unfavorable health effects on individuals conducting experiments and handling nanomaterials, studies that identify the adverse effects of nanotechnology must be conducted at a pace level with the commercialization of nanotechnology. © 2006 Wiley Periodicals, Inc."
2006-01-01,The promise and threat of nanotechnology: Can environmental ethics guide us?,"The growing presence of the products of nanotechnology in the public domain raises a number of ethical questions. This chapter considers whether existing environmental ethics can provide some guidance on these questions. After a brief discussion of the appropriateness of an environmental ethics framework for the task at hand, the chapter identifies a representative environmental ethic and uses it to evaluate four salient issues that emerge from nanotechnology. The discussion is intended both to give an initial theoretical take on nanotechnology from the perspective of environmental ethics and to provide a clear indication of the direction from which environmental resistance might come."
2006-01-01,Progress in governance of converging technologies integrated from the nanoscale,"It is expected that convergence of nanotechnology, modern biology, the digital revolution, and cognitive sciences will bring about tremendous improvements in transformative tools, generate new products and services, enable human personal abilities and social achievements, and in time reshape societal relationships. This article focuses on the progress made in governance of such converging, emerging technologies that are integrated with more traditional technologies. The proposed framework for governance calls for several key functions: supporting the transformative impact; advancing responsible development that includes health, safety, and ethical concerns; encouraging national and global partnerships; and commitment to long-term planning with effects on human development. Principles of good governance include participation of all those involved or affected by the new technologies, transparency, participant responsibility, and effective strategic planning. Introduction and management of converging technologies must be done with respect for immediate concerns (such as information technology privacy, access to medical advancements, and addressing toxicity of new nanomaterials) and longer-term concerns (such as human development and concern for human integrity, dignity, and welfare). Four levels of governance of converging technologies have been identified: (a) adapting existing regulations and organizations; (b) establishing new programs, regulations, and organizations specifically to handle converging technologies; (c) national policies and institutional capacity building; and (d) international agreements and partnerships. © 2006 New York Academy of Sciences."
2005-12-12,Military nanotechnology: Potential applications and preventive arms control,"With revolutionary changes in nanotechnology (NT) now on the horizon, many countries have started major research and development (R&D) programmes, which are mainly civilian. Often overlooked are military R&D programmes - in particular those of the US government. This is the first systematic and comprehensive presentation of the potential military applications of NT. In ten to twenty years, these applications may include extremely small computers, robots, missiles, satellites, launchers and sensors. They may also provide lighter and stronger materials for vehicles and weapons, implants in soldiers' bodies, metal-free firearms, autonomous fighting systems, and smaller chemical and biological weapons. These potential uses raise strong concerns. This assessment is made from a viewpoint of international security, considering the new criteria of dangers for arms control and the international law of warfare, dangers for stability through potential new arms races and proliferation, and dangers for humans and society. Some military applications, such as computers, will be so close to civilian uses that limits are impractical. Others, such as sensors for biological-warfare agents, may contribute to stronger protection against terrorist attacks and better verification of compliance with arms-control treaties. For preventive limitation of these new technologies, specific approaches are proposed that balance positive civilian uses and take into account verification of compliance, with a view to international peace and security, not national military strength. This book will be of great interest to scholars of military technology, non-lethal weapons, disarmament and security studies in general."
2005-12-01,Translocation of inhaled TiO<inf>2</inf> nanoparticles along olfactory nervous system to brain studied by synchrotron radiation X-ray fluorescence,"Nanosized TiO2 is widely used for cleaning air, antibacterial and decomposing organic in wastewater for its highly photocatalytic function. TiO2 inhalation via respiratory tracts is the most common route of its exposure in industry and environment. After inhalation by human or rodents, TiO2 can induce inflammation and pulmonary lesions, which was reported to even cause lung cancer by long-term exposure. In this paper, Synchrotron Radiation X-ray Fluorescence was employed to investigate the distribution of TiO2 in the olfactory bulb and brain of mice after inhalation of TiO2 particles suspension. The results showed that TiO2 could enter the olfactory nerve layer (ON), granular cell layer of olfactory bulb (Gro), and olfactory ventricle (OV) and further the hippocampus, thalamus, and CA3 area of the brain through the olfactory nervous system. The distribution area of microsized TiO2 was wider than that of nanosized TiO2."
2005-10-01,Status of study on biological and toxicological effects of nanoscale materials,"Because the physical and chemical properties of nanosized materials mostly differ from the existing microsized materials, their potential impacts on human health and the environment will be topics under the serious discussions in press and in a number of international scientific journals. We analyze and summarize the existing data of the experimental study on the biological activities and adverse effects of nanoscale materials/particles including single wall carbon nanotubes, multi wall carbon nanotubes, titanium oxide and iron powders. Though some biological behaviors of nanoscale materials observed cannot be understood on the basis of the current knowledge, as the existing data are mostly preliminary, it is too early to make some exclusive conclusions on biological activities (or the toxicity) of any of nanoscale materials. The experimental techniques, the current topics, and the future research directions for this new research field are also discussed."
2005-04-01,The promise and threat of nanotechnology: Can environmental ethics guide US?,"The growing presence of the products of nanotechnology in the public domain raises a number of ethical questions. This paper considers whether existing environmental ethics can provide some guidance on these questions. After a brief discussion of the appropriateness of an environmental ethics framework for the task at hand, the paper identifies a representative environmental ethic and uses it to evaluate four salient issues that emerge from nanotechnology. The discussion is intended both to give an initial theoretical take on nanotechnology from the perspective of environmental ethics and to provide a clear indication of the direction from which environmental resistance might come. Copyright © 2005 by HYLE and Christopher J. Preston."
2005-03-01,Environmentally responsible development of nanotechnology,
2005-02-01,Societal implications of nanoscience and nanotechnology: Maximizing human benefit,"The balance between the potential benefits and risks of nanotechnology is discussed based on judgments expressed by leading industry, academe and government experts at a U.S. National Nanotechnology Initiative (NNI) sponsored meeting. The results are summarized in various themes related to: economic impacts and commercialization; social scenarios; technological convergence; quality of life; ethics and law; governance, public perceptions, and education. © Springer 2005."
