Date,Title,Content
2010-07-01,"Associations among park use, age, social participation, and neighborhood age composition in Montreal","Parks provide benefits for the physical, psychological, and social well-being of residents in neighborhood environments.Multilevel logistic regression was used to examine associations between neighborhood- and individual-level characteristics and the lack of park use in Montreal. Data on park use were collected from 787 adults residing in 299 different neighborhoods. Results found that older adults who lived in areas with a younger age composition were more likely not to use their nearby parks as compared to older adults living in areas with an older age composition. Forms of social participation were also important for the park use of older adults. Public policies should consider targeting aspects of the social environment to improve neighborhood park use. © Taylor & Francis Group, LLC."
2010-07-01,Social Inequalities in Food Exposure Around Schools in an Urban Area,"Background: The obesity epidemic among children and youth, and the social gradient in this relationship, could be related to differential exposure to food sources in primary environments. Although the positive association between area-level deprivation and fast-food outlets offering high-calorie foods has been well documented, few studies have evaluated food sources around school settings. Purpose: This study evaluated the relationships among food sources around schools, neighborhood income, and commercial density. Methods: A GIS was used to derive measures of exposure to fast-food outlets, fruit and vegetable stores, and full-service restaurants near primary and secondary schools in Montreal, Canada, in 2005. Food source availability was analyzed in 2009 in relation to neighborhood income for the area around schools, accounting for commercial density. Results: For the 1168 schools identified, strong neighborhood income gradients were observed in relation to food sources. Relative to the highest income-quartile schools, the odds of a fast-food outlet being located within 750 m of a low income-quartile school was 30.9 (95% CI=19.6, 48.9). Similar relationships were observed for full-service restaurants (OR=77, 95% CI=35, 169.3) and fruit and vegetable stores (OR=29.6, 95% CI=18.8, 46.7). These associations were reduced, but remained significant in models accounting for commercial density. Conclusions: Food source exposure around schools is inversely associated with neighborhood income, but commercial density partly accounts for this association. Further research is necessary to document food consumption among youth attending schools in relation to nearby food source opportunities. © 2010 American Journal of Preventive Medicine."
2010-06-15,"Design, synthesis, and docking of highly hypolipidemic agents: Schizosaccharomyces pombe as a new model for evaluating α-asarone-based HMG-CoA reductase inhibitors","A series of α-asarone-based analogues was designed by conducting docking experiments with published crystal structures of human HMG-CoA reductase. Indeed, synthesis and evaluation of this series showed a highly hypocholesterolemic in vivo activity in a murine model, as predicted by previous docking studies. In agreement with this model, the polar groups attached to the benzene ring could play a key role in the enzyme binding and probably also in its biological activity, mimicking the HMG-moiety of the natural substrate. The hypolipidemic action mechanism of these compounds was investigated by developing a simple, efficient, and novel model for determining HMG-CoA reductase inhibition. The partial purification of the enzyme from Schizosaccharomyces pombe allowed for testing of α-asarone- and fibrate-based analogues, resulting in positive and significant inhibitory activity. © 2010 Elsevier Ltd. All rights reserved."
2010-06-02,"Nimo's war, Emma's war: Making feminist sense of the Iraq War","Nimo, Maha, Safah, Shatha, Emma, Danielle, Kim, Charlene. In a book that once again blends her distinctive flair for capturing the texture of everyday life with shrewd political insights, Cynthia Enloe looks closely at the lives of eight ordinary women, four Iraqis and four Americans, during the Iraq War. Among others, Enloe profiles a Baghdad beauty parlor owner, a teenage girl who survived a massacre, an elected member of Parliament, the young wife of an Army sergeant, and an African American woman soldier. Each chapter begins with a close-up look at one woman's experiences and widens into a dazzling examination of the larger canvas of war's gendered dimensions. Bringing to light hidden and unexpected theaters of operation-prostitution, sexual assault, marriage, ethnic politics, sexist economies-these stories are a brilliant entryway into an eye-opening exploration of the actual causes, costs, and long-range consequences of war. This unique comparison of American and Iraqi women's diverse and complex experiences sheds a powerful light on the different realities that together we call, perhaps too easily, ""the Iraq war."" © 2010 by The Regents of the University of California."
2010-06-01,'The spirit of local patriotism': Progress and populism in Sydney's northern suburbs in the 1920s,"Local patriotism emerged in Australia in the suburbs from the mid nineteenth century. In the twentieth century, influenced by progressivism, it was a populist reaction by emerging suburbs and municipalities to state power and the political and cultural dominance of the city. Promoting the local as the anchor for a chain of national and imperial being and the place where moral capital was renewed, local patriotism paradoxically elevated ties of community and locality above all else. It also exhibited a 'reactionary modernism' which embraced new technology while seeking to maintain traditional values linked to the land and a British inheritance. Ultimately, self-interest - driven by exclusivism, anti-urbanism and class quarantining - underpinned local patriotism in Australia. Although its currency was relatively short-lived, it remained persuasive in Australian political culture. This article examines local patriotism through a case study of Sydney's North Shore and northern suburbs in the first three decades of the twentieth century, drawing extensively on a local newspaper, The Suburban Herald. © 2010 International Australian Studies Association."
2010-05-05,The Handbook of Rhetoric and Public Address,"The Handbook of Rhetoric and Public Address is a state-of-the-art companion to the field that showcases both the historical traditions and the future possibilities for public address scholarship in the twenty-first century. Focuses on public address as both a subject matter and a critical perspective. Mindful of the connections between the study of public address and the history of ideas. Provides an historical overview of public address research and pedagogy, as well as a reassessment of contemporary public address scholarship by those most engaged in its practice. Includes in-depth discussions of basic issues and controversies public address scholarship. Explores the relationship between the study of public address and contemporary issues of civic engagement and democratic citizenship. Reflects the diversity of views among public address scholars, advancing on-going discussions and debates over the goals and character of rhetorical scholarship. © 2010 Blackwell Publishing Ltd."
2010-03-01,Violence in mainstream TV advertising: A comparison of the representation of physical aggression in American and Israeli commercials,"A content analysis of 1,785 American ads and 1,467 Israeli ads maps the representation of violence in mainstream TV advertising in the two countries, finding violence present in 2.5% of the American commercials and in 1.5% of the Israeli commercials. The most frequently depicted conduct in the two countries is bare-handed assault. Sexual violence is not presented at all. A humorous mode of presentation is more frequent than a serious tone. The results are discussed from inter-cultural and intra-cultural perspectives, taking regulation factors and public opinion implications into account. © 2010 Walter de Gruyter GmbH & Co. KG."
2010-03-01,Interactive effects of reward sensitivity and residential fast-food restaurant exposure on fast-food consumption,"Background: Local fast-food environments have been increasingly linked to obesity and related outcomes. Individuals who are more sensitive to reward-related cues might be more responsive to such environments. Objective: This study aimed to assess the moderating role of sensitivity to reward on the relation between residential fast-food restaurant exposure and fast-food consumption. Design: Four hundred fifteen individuals (49.6% men; mean age: 34.7 y) were sampled from 7 Montreal census tracts stratified by socioeconomic status and French/English language. The frequency of fast-food restaurant visits in the previous week was self-reported. Sensitivity to reward was self-reported by using the Behavioral Activation System (BAS) scale. Fast-food restaurant exposure within 500 m of the participants' residence was determined by using a Geographic Information System. Main and interactive effects of the BAS and fast-food restaurant exposure on fast-food consumption were tested with logistic regression models that accounted for clustering of observations and participants' age, sex, education, and household income. Results: Regression results showed a significant interaction between BAS and fast-food restaurant exposure (P < 0.001). Analysis of BAS tertiles indicated that the association between neighborhood fast-food restaurant exposure and consumption was positive for the highest tertile (odds ratio: 1.49; 95% CI: 1.20, 1.84; P < 0.001) but null for the intermediate (odds ratio: 1.03; 95% CI: 0.80, 1.34; P = 0.81) and lowest (odds ratio: 0.84; 95% CI: 0.51, 1.37; P = 0.49) tertiles. Conclusion: Reward-sensitive individuals may be more responsive to unhealthful cues in their immediate environment. © 2010 American Society for Nutrition."
2010-02-26,Screening gender on children's television: The views of producers around the world,"Screening Gender on Children's Television offers readers insights into the transformations taking place in the presentation of gender portrayals in television productions aimed at younger audiences. It goes far beyond a critical analysis of the existing portrayals of gender and culture by sharing media professionals' action-oriented recommendations for change that would promote gender equity, social diversity and the wellbeing of children. Incorporating the author's interviews with 135 producers of children's television from 65 countries, this book discusses the role television plays in the lives of young people and, more specifically, in developing gender identity. It examines how gender images presented to children on television are intertwined with important existential and cultural concerns that occupy the social agenda worldwide, including the promotion of education for girls, prevention of HIV/AIDS and domestic violence and caring for 'neglected' boys who lack healthy masculine role models, as well as confronting the pressures of the beauty myth. Screening Gender on Children's Television also explores how children's television producers struggle to portray issues such as sex/sexuality and the preservation of local cultures in a profit-driven market which continually strives to reinforce gender segregation. The author documents pro-active attempts by producers to advance social change, illustrating how television can serve to provide positive, empowering images for children around the world. Screening Gender on Children's Television is an accessible text which will appeal to a wide audience of media practitioners as well as students and scholars. It will be useful on a range of courses, including popular culture, gender, television and media studies. Researchers will also be interested in the breadth of this cross-cultural study and its interviewing methodology."
2010-02-01,"Negotiating with terrorists: Strategy, tactics, and politics","This edited volume addresses the important issue of negotiating with terrorists, and offers recommendations for best practice and processes. Hostage negotiation is the process of trying to align two often completely polarised parties. Authorities view hostage taking as unacceptable demands made by unacceptable means. However terrorists view their actions as completely justified, even on moral and religious grounds. If they are to try and reconcile these two sides, it is essential for hostage negotiators to understand terrorist culture, the hostage takers' profiles, their personality, their view of the world and also the authorities, their values and their framing of the problem raised by the taking of hostages. Although not advocating negotiating with terrorists, the volume seeks to analyse when, why, and how it is done. Part I deals with the theory and quantifiable data produced from analysis of hostage situations, while Part II explores several high profile case studies and the lessons that can be learnt from them. This volume will be of great interest to students of terrorism studies, conflict management, negotiation, security studies and IR in general."
2010-01-16,Chemistry of quinone bis-and monoketals,
2010-01-04,"Terrorism, elections, and democracy: Political campaigns in the United States, Great Britain, and Russia","This book examines the influence of terrorist threat in the recent elections in the US, Great Britain, and Russia to analyze the influence of post-9/11 fears on voting behaviour in comparative perspective. It is in these different countries that warnings about terrorism find the most resonance with candidates, journalists and voters alike."
2010-01-01,"The pen and the sword: Press, war, and terror in the 21st century","An eye-opening case study of the news at war, introducing a critical perspective on our mass mediaThe Pen and the Sword is the only comprehensive examination of how the media have covered the 21st Century’s #1 news story: terrorism and the wars in Afghanistan and Iraq. This is the full story—from 9/11 to the Obama doctrine, and including:The increasing importance of entertainment media and soft news in shaping our views."
2010-01-01,The news media,
2010-01-01,Levels of analysis and communication science,
2010-01-01,Hybrid toolboxes: Conceptual and empirical analysis of blending patterns in application of hybrid media,"Hybrid media concepts, i.e. especially combinations of face-to-face instruments and electronic media, represent a standard in many fields of application for quite a long time. Such combinations of diverse, and thus hybrid instruments are meanwhile quite commonly used, for example, in marketing, in retail business, for communication in virtual enterprises, in internal communication processes, in human resource development and in higher education. By combining strengths of two or more media and by mutually compensating their weaknesses, hybrid media concepts aim at enhancing performance with respect to effectiveness and efficiency. So far, however, scientific discussion lacks a common understanding of the architecture of hybrid media concepts as well as empirical evidence on the application of hybrid media in practice. Hence, it is unclear to what extent the performance potential of hybrid media concepts is utilized in different application fields and what the drivers of the use and performance of hybrid media concepts are. This article presents and discusses both a conceptualization of hybrid media in terms of diversity, proportions and coupling of hybrid concepts and empirical evidence on hybrid media concepts in two typical application fields: internal communication in change management and blended learning in higher education."
2010-01-01,Sense of mastery and metabolic risk: Moderating role of the local fast-food environment,"Objective: To test the moderating role of the extent of fast-food restaurants in one's immediate environment in the association between mastery and metabolic risk. Higher sense of mastery (perceived control over one's circumstances) has been associated with better metabolic outcomes. Mastery may be instrumental in resisting unhealthful environmental food cues when these become ubiquitous, resulting in a greater health impact of mastery. Methods: Blood samples were obtained from 344 individuals (50% men), aged 18 to 57 years (mean, 34.9 years), sampled from seven census tracts representing the spectrum of census tract-level socioeconomic status and language (French/English) in Montreal. Risk factors based on standards for high-density lipoprotein and total cholesterol, waist circumference, body mass index, triglycerides, and glycated hemoglobin were summed to obtain a cumulative metabolic risk score. Mastery was self-reported, using a validated scale. The proportion of restaurants classified as fast-food within 500 m of participants' residences was determined, using a geographic information system. Main and interactive effects were tested with Poisson regression, accounting for clustering of observations and participants' age, gender, education, and income. Results: Mastery interacted with fast-food exposure in relation to metabolic risk (p =.03). Higher mastery was significantly associated with lower metabolic risk for participants surrounded by a high proportion of fast food (relative risk, 0.80; 95% confidence interval, 0.76-0.84; p <.0001), but not for those living in areas with low proportion of fast-food restaurants (relative risk, 0.94; 95% confidence interval, 0.82-1.08; p =.37). Conclusions: A positive relationship between mastery and lower metabolic risk was most apparent in environments with higher fast-food exposure. © 2010 by the American Psychosomatic Society."
2009-12-04,Television studies: The basics,"Television Studies: The Basics is a lively introduction to the study of a powerful medium. It examines the major theories and debates surrounding production and reception over the years and considers both the role and future of television. Topics covered include: broadcasting history and technology, institutions and ownership, genre and content, audiences, Complete with global case studies, questions for discussion, and suggestions for further reading, this is an invaluable and engaging resource for those interested in how to study television."
2009-12-01,Talking with insurgents: A guide for the perplexed,
2009-12-01,"Associations between area-level unemployment, body mass index, and risk factors for cardiovascular disease in an urban area","Introduction: Cardiovascular Disease (CVD) has been linked to ""neighbourhood"" socioeconomic status (nSES), often operationalized as a composite index of aggregate income, occupation and education within predefined administrative boundaries. The role of specific, non-composite socioeconomic markers has not been clearly explained. It is also unclear whether the relationship between nSES and CVD varies according to sex. We sought to determine whether area-level unemployment (ALU) was associated with CVD risk, and whether this association differed by sex. Methods: 342 individuals from the Montreal Neighbourhood Survey of Lifestyle and Health provided self-reported behavioural and socioeconomic information. A nurse collected biochemical and anthropometric data. ALU, a weighted average of the proportion of persons 15-years and older available for but without work, was measured using a Geographic Information System for a 250 m buffer centred on individual residence. Generalized Estimating Equations were used to estimate the associations between ALU, body mass index (BMI) and a cumulative score for total cardiometabolic risk (TCR). Results: After confounder adjustments, the mean 4th minus 1st quartile difference in BMI was 3.19 kg/m2 (95% CI: 2.39, 3.99), while the prevalence ratio for the 4 th relative to 1st quartile for TCR was 2.20 (95 % CI: 1.53, 3.17). Sex interacted with ALU; women relative to men had greater mean 3.97 kg/m2 (95% CI: 2.08, 5.85) BMI and greater mean TCR 1.51 (95% CI: 0.78, 2.90), contrasted at mean ALU. Conclusions: Area-level unemployment is associated with greater CVD risk, and this association is stronger for women. © 2009 by the authors; licensee Molecular Diversity Preservation International."
2009-12-01,Assessing global diffusion with Web memetics: The spread and evolution of a popular joke,"Memes are small units of culture, analogous to genes, which flow from person to person by copying or imitation. More than any previous medium, the Internet has the technical capabilities for global même diffusion. Yet, to spread globally, memes need to negotiate their way through cultural and linguistic borders. This article introduces a new broad method, Web memetics, comprising extensive Web searches and combined quantitative and qualitative analyses, to identify and assess: (a) the different versions of a meme, (b) its evolution online, and (c) its Web presence and translation into common Internet languages. This method is demonstrated through one extensively circulated joke about men, women, and computers. The results show that the joke has mutated into several different versions and is widely translated, and that translations incorporate small, local adaptations while retaining the English versions' fundamental components. In conclusion, Web memetics has demonstrated its ability to identify and track the evolution and spread of mêmes online, with interesting results, albeit for only one case study. © 2009 ASIS&T."
2009-11-01,Supporting adaptation to climate change: What role for official development assistance?,"The formal financial mechanisms for managing adaptation to climate change under the UN Framework Convention on Climate Change (UNFCCC) are falling significantly short of meeting needs in the most vulnerable countries. Given the close relationship between development and adaptation, it is tempting to use existing channels of development assistance to fill this gap. However, it is imperative that development assistance is not seen as a substitute for specific adaptation finance. This article therefore attempts to distinguish between the two roles, and considers how development assistance might support and complement adaptation funding and action under the Convention, rather than competing with or substituting it. © The Authors 2009. Journal compilation © 2009 Overseas Development Institute."
2009-09-21,Modeling source-filter interaction in belting and high-pitched operatic male singing,"Nonlinear source-filter theory is applied to explain some acoustic differences between two contrasting male singing productions at high pitches: operatic style versus jazz belt or theater belt. Several stylized vocal tract shapes (caricatures) are discussed that form the bases of these styles. It is hypothesized that operatic singing uses vowels that are modified toward an inverted megaphone mouth shape for transitioning into the high-pitch range. This allows all the harmonics except the fundamental to be ""lifted"" over the first formant. Belting, on the other hand, uses vowels that are consistently modified toward the megaphone (trumpet-like) mouth shape. Both the fundamental and the second harmonic are then kept below the first formant. The vocal tract shapes provide collective reinforcement to multiple harmonics in the form of inertive supraglottal reactance and compliant subglottal reactance. Examples of lip openings from four well-known artists are used to infer vocal tract area functions and the corresponding reactances. © 2009 Acoustical Society of America."
2009-08-01,Effects of loud and amplified speech on sentence and word intelligibility in Parkinson disease,"Purpose: In the two experiments in this study, the author examined the effects of increased vocal effort (loud speech) and amplification on sentence and word intelligibility in speakers with Parkinson disease (PD). Methods: Five talkers with PD produced sentences and words at habitual levels of effort and using loud speech techniques. Amplified sets of sentences and words were created by increasing the intensity of habitual stimuli to the level of loud stimuli. Listeners rated the intelligibility of the 3 sets of sentences on a 1-7 scale and transcribed the 3 sets of words. Results: Both loud speech and amplification significantly improved intelligibility for sentences and words. Loud speech resulted in greater intelligibility improvement than amplification. Conclusions: By comparing loud and amplified scores, about one third to one half of intelligibility improvement with loud speech could be attributed to increases in audibility or signal-to-noise ratio. Thus, factors other than increased intensity must be partly responsible for the loud speech benefit. Changes in articulation appear to play a relatively small role: Initial /h/was the only consonant to consistently show improvement with loud speech. Phonatory changes such as improvements in F0 and spectral tilt may account for improved speech intelligibility using loud speech techniques. © American Speech-Language-Hearing Association."
2009-07-01,PAF-antagonistic bicyclo[3.2.1]octanoid neolignans from leaves of Ocotea macrophylla Kunth. (Lauraceae),"Di-nor-benzofuran neolignan aldehydes, Δ7-3,4-methylenedioxy-3′-methoxy-8′,9′-dinor-4′,7-epoxy-8,3′-neolignan-7′-aldehyde (ocophyllal A) 1, Δ7-3,4,5,3′-tetramethoxy-8′,9′-dinor-4′,7-epoxy-8,3′-neolignan-7′-aldehyde (ocophyllal B) 2, and macrophyllin-type bicyclo[3.2.1]octanoid neolignans (7R, 8R, 3′S, 4′S, 5′R)-Δ8′-4′-hydroxy-5′-methoxy-3,4-methylenedioxy-2′,3′,4′,5′-tetrahydro-2′-oxo-7.3′,8.5′-neolignan (ocophyllol A) 3, (7R, 8R, 3′S, 4′S, 5′R)-Δ8′-4′-hydroxy-3,4,5′-trimethoxy-2′,3′,4′,5′-tetrahydro-2′-oxo-7.3′,8.5′-neolignan (ocophyllol B) 4, (7R, 8R, 3′S, 4′S, 5′R)-Δ8′-4′-hydroxy-3,4,5,5′-tetramethoxy-2′,3′,4′,5′-tetrahydro-2′-oxo-7.3′,8.5′-neolignan (ocophyllol C) 5, as well as 2′-epi-guianin 6 and (+)-licarin B 7, were isolated and characterized from leaves of Ocotea macrophylla (Lauraceae). The structures and configuration of these compounds were determined by extensive spectroscopic analyses. Inhibition of platelet activating factor (PAF)-induced aggregation of rabbit platelets were tested with neolignans 1-7. Although compound 6 was the most potent PAF-antagonist, compounds 3-5 showed some activity. © 2009 Elsevier Ltd. All rights reserved."
2009-04-30,Threat inflation and the failure of the marketplace of ideas: The selling of the Iraq War,
2009-04-15,Moral panic: From sociological concept to public discourse,"This paper examines the nature and extent of news reports using the sociological concept, 'moral panic' (MP). Qualitative content analysis reveals that moral panic is commonly used in news reports in the USA, UK, Australia, and other countries, but it is more likely to be compatible with print (e.g. newspaper) formats than television reports. It is also widely used in literary and art reviews, editorials and op-ed pieces, often by social scientists. Use of the concept has increased over the last decade, particularly in news reports as part of an 'opposing' voice or the 'other side' of articles about deviant behavior, sexual behavior, and drug use. It is suggested that moral panic as 'opposition' fits the entertainment news format, and while this sustains its use by writers and familiarity to audience members, it also appears to be associated with certain topics (e.g. sex and drugs), but not others, such as terrorism in the mainstream media. Questions are raised for additional research. © 2009 SAGE Publications."
2009-03-24,Television studies after TV: Understanding television in the post-broadcast era,"Television studies must now address a complex environment where change has been vigorous but uneven, and where local and national conditions vary significantly. Globalizing media industries, deregulatory policy regimes, the multiplication, convergence and trade in media formats, the emergence of new content production industries outside the US/UK umbrella, and the fragmentation of media audiences are all changing the nature of television today: its content, its industrial structure and how it is consumed. Television Studies after TV leads the way in developing new ways of understanding television in the post-broadcast era. With contributions from leading international scholars, it considers the full range of convergent media now implicated in understanding television, and also focuses on large non-Anglophone markets - such as Asia and Latin America - in order to accurately reflect the wide variety of structures, forms and content which now organise television around the world."
2009-03-23,Megaphone messages may be just pure political spin,
2009-03-01,"Association of individual network social capital with abdominal adiposity, overweight and obesity","BackgroundLimited research has examined the association of individual trust, participation and social capital with obesity using objective measures of waist circumference (WC), body mass index (BMI) and network measures of social capital.MethodsData were obtained from a representative sample of Montreal residents. Participants completed questionnaires that included a position generator for collecting network social capital data. Measures of WC, height and weight were collected by registered nurses. To estimate associations with cardiometabolic risk, data on WC for individuals with BMI between 18.5 and 34.9 were extracted for analysis (n = 291). Using a proportional odds model with clustered robust standard errors, we evaluated the association of three different measures of individual social capital with elevated and substantially elevated WC and overweight and obesity categories of BMI. These measures were then evaluated in their associations with elevated WC and BMI, adjusting for socio-demographic and behavioral covariates.ResultsNetwork social capital was inversely associated with the likelihood of being in an elevated WC risk category (odds ratio (OR) = 0.81, 95 confidence intervals (CI: 0.69, 0.96) and higher BMI category (OR = 0.81, 95 CI: 0.71, 0.92).ConclusionHigher individual network social capital is associated with a lower likelihood of elevated WC risk and overweight and obesity."
2009-01-01,Terrorism Programming,"Mass media reports about terrorism prepared audiences for the Iraq War. Expanded social control efforts, including surveillance and suspension of civil liberties, were deemed necessary to fight terrorism. The fight against terrorism and the Iraq War were presented to audiences through an exhaustive propaganda campaign that included dramatisation of enemy threats, how to consume and be patriotic. All of this required a complicit news media that carried governmental claims and justifications. Analysis of news coverage suggests that this war was presented as Terrorism Programming, or the selective use of claims makers/news sources within a normative pattern, which included occasional detractors to give the appearance of debate. The implications of this approach for social control are discussed, along with suggestions for future research. © 2009, Taylor & Francis Group, LLC. All rights reserved."
2009-01-01,"Property Rites: The Rhinelander trial, passing, and the protection of whiteness","In 1925 Leonard Rhinelander, the youngest son of a wealthy New York society family, sued to end his marriage to Alice Jones, a former domestic servant and the daughter of a ""colored"" cabman. After being married only one month, Rhinelander pressed for the dissolution of his marriage on the grounds that his wife had lied to him about her racial background. The subsequent marital annulment trial became a massive public spectacle, not only in New York but across the nation-despite the fact that the state had never outlawed interracial marriage. Elizabeth Smith-Pryor makes extensive use of trial transcripts, in addition to contemporary newspaper coverage and archival sources, to explore why Leonard Rhinelander was allowed his day in court. She moves fluidly between legal history, a day-by-day narrative of the trial itself, and analyses of the trial's place in the culture of the 1920s North to show how notions of race, property, and the law were-and are-inextricably intertwined. © 2012 The University of North Carolina Press. All rights reserved."
2009-01-01,Media and conflict resolution,
2009-01-01,Regional variations on a global theme: Formatting television for the Middle East and beyond,"The issue of cultural interchange of foreign programming is growing ever more pertinent within the deregulated television industries of emergent economies and regions. Adaptation of global program formats has become a common practice around the world, though it has proven more challenging in the Middle East, in a context of variable religious conservatism, political freedoms and economic affluence. Drawing on case histories of format adaptations that have experienced differing degrees of success within the region, this paper develops inductively a typology for contingent creative strategies, namely replica, indigene, collage and hybrid. With an eye to targeting both advertisers and audiences, television networks and program producers might thus cater to diverse cultural sensibilities across sub-regional audiences when broadcasting regionally. Finally, the paper highlights under-researched issues surrounding media reproduction for geolinguistic regions."
